passer_name,team_name,n_passes,mean_tiv,total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,circulatory,destabilising,line_breaking,space_expanding,dominant_pass_type,player_label
Martin Hongla,Cameroon,35,0.25728567708812417,9.004998698084346,-0.9428571428571428,2.089102783226297,36.679910336363676,0.2,0.05714285714285714,0.08571428571428572,0.0,0.11428571428571428,0.5142857142857142,0.11428571428571428,0.2571428571428571,destabilising,Martin Hongla (Cameroon)
Andrija Zivkovic,Serbia,34,0.2643614241256538,8.988288420272228,0.4411764705882353,1.1476807603401704,41.719404544117644,0.08823529411764706,0.0,0.11764705882352941,0.029411764705882353,0.029411764705882353,0.5294117647058824,0.35294117647058826,0.08823529411764706,destabilising,Andrija Zivkovic (Serbia)
Benjamin Pavard,France,38,0.23236236772985053,8.82976997373432,0.9473684210526315,1.1570141294580372,33.70867055382775,0.07894736842105263,0.02631578947368421,0.02631578947368421,0.0,0.15789473684210525,0.4473684210526316,0.34210526315789475,0.05263157894736842,destabilising,Benjamin Pavard (France)
Riley McGree,Australia,40,0.2110467195669275,8.4418687826771,-0.95,1.565074396409072,43.997405570454525,0.1,0.025,0.05,0.025,0.05,0.6,0.15,0.2,destabilising,Riley McGree (Australia)
Cameron Carter-Vickers,United States,44,0.18853390662743097,8.295491891606963,1.9545454545454546,1.1138943472886902,24.958737585743776,0.06818181818181818,0.0,0.045454545454545456,0.0,0.29545454545454547,0.36363636363636365,0.3181818181818182,0.022727272727272728,destabilising,Cameron Carter-Vickers (United States)
Abdulelah Al-Malki,Saudi Arabia,38,0.21400918395453375,8.132348990272282,0.3157894736842105,1.508006346427022,30.114790758373164,0.05263157894736842,0.07894736842105263,0.0,0.0,0.13157894736842105,0.5526315789473685,0.23684210526315788,0.07894736842105263,destabilising,Abdulelah Al-Malki (Saudi Arabia)
Neymar,Brazil,74,0.10595597492627165,7.840742144544103,-0.8378378378378378,1.8610967952327204,37.75928881511056,0.12162162162162163,0.02702702702702703,0.05405405405405406,0.013513513513513514,0.10810810810810811,0.527027027027027,0.21621621621621623,0.14864864864864866,destabilising,Neymar (Brazil)
Thomas Delaney,Denmark,23,0.33674126903132967,7.745049187720582,-0.4782608695652174,2.2006601454030474,40.27810525494069,0.13043478260869565,0.043478260869565216,0.0,0.0,0.043478260869565216,0.6086956521739131,0.17391304347826086,0.17391304347826086,destabilising,Thomas Delaney (Denmark)
Ben Davies,Wales,83,0.0925509238314556,7.681726678010816,1.2409638554216869,1.0596867696384913,23.241618211391017,0.012048192771084338,0.024096385542168676,0.024096385542168676,0.0,0.2891566265060241,0.3253012048192771,0.3132530120481928,0.07228915662650602,destabilising,Ben Davies (Wales)
Antonee Robinson,United States,115,0.06459047322364751,7.427904420719464,1.6,0.8914408122407738,21.807277568774705,0.10434782608695652,0.02608695652173913,0.05217391304347826,0.008695652173913044,0.3739130434782609,0.2782608695652174,0.3391304347826087,0.008695652173913044,circulatory,Antonee Robinson (United States)
